kind,offset,length,width_px,height_px,file,note
graphic,0x04b735,34,24,8,graphics/gfx_000f0d_24x8_1bpp.png,run after 0x000d4c
graphic-header,0x04b735,34,24,8,headers/gfx_000f0d_24x8_1bpp.h,run after 0x000d4c
graphic,0x04b757,34,24,8,graphics/gfx_000f2f_24x8_1bpp.png,run after 0x000d4c
graphic-header,0x04b757,34,24,8,headers/gfx_000f2f_24x8_1bpp.h,run after 0x000d4c
graphic,0x04b779,34,24,8,graphics/gfx_000f51_24x8_1bpp.png,run after 0x000d4c
graphic-header,0x04b779,34,24,8,headers/gfx_000f51_24x8_1bpp.h,run after 0x000d4c
graphic,0x04b79b,46,32,9,graphics/gfx_000f73_32x9_1bpp.png,run after 0x000d4c
graphic-header,0x04b79b,46,32,9,headers/gfx_000f73_32x9_1bpp.h,run after 0x000d4c
graphic,0x04b7c9,37,24,9,graphics/gfx_000fa1_24x9_1bpp.png,run after 0x000d4c
graphic-header,0x04b7c9,37,24,9,headers/gfx_000fa1_24x9_1bpp.h,run after 0x000d4c
graphic,0x04b7ee,22,8,12,graphics/gfx_000fc6_8x12_1bpp.png,run after 0x000d4c
graphic-header,0x04b7ee,22,8,12,headers/gfx_000fc6_8x12_1bpp.h,run after 0x000d4c
graphic,0x04b804,22,8,12,graphics/gfx_000fdc_8x12_1bpp.png,run after 0x000d4c
graphic-header,0x04b804,22,8,12,headers/gfx_000fdc_8x12_1bpp.h,run after 0x000d4c
graphic,0x04b81a,22,8,12,graphics/gfx_000ff2_8x12_1bpp.png,run after 0x000d4c
graphic-header,0x04b81a,22,8,12,headers/gfx_000ff2_8x12_1bpp.h,run after 0x000d4c
graphic,0x04b830,40,16,15,graphics/gfx_001008_16x15_1bpp.png,run after 0x000d4c
graphic-header,0x04b830,40,16,15,headers/gfx_001008_16x15_1bpp.h,run after 0x000d4c
graphic,0x04b858,40,16,15,graphics/gfx_001030_16x15_1bpp.png,run after 0x000d4c
graphic-header,0x04b858,40,16,15,headers/gfx_001030_16x15_1bpp.h,run after 0x000d4c
graphic,0x04b880,40,16,15,graphics/gfx_001058_16x15_1bpp.png,direct: PTR_PTR_00008d00
graphic-header,0x04b880,40,16,15,headers/gfx_001058_16x15_1bpp.h,direct: PTR_PTR_00008d00
graphic,0x04b8a8,120,40,22,graphics/gfx_001080_40x22_1bpp.png,run after 0x001058
graphic-header,0x04b8a8,120,40,22,headers/gfx_001080_40x22_1bpp.h,run after 0x001058
